track_id,rows,genres
06Lrz6eyIROUC8JM0MylSO,2,2
06P47xqCjUCIY2JEzMRufN,2,2
06PdA0DLgF4BfAeUNZAbFG,4,4
06Q3gof2rs8ErXzBrW1aVg,3,3
06QhDcVIH3csxlm7K7mpPi,5,5
06Stw5UCrKYwPBxsTOfBtA,3,3
06UlQEupfklesVD0OB2N87,3,3
06WUUNf7q18NZfjIsQFsfa,4,4
06ZKQ9zWVEOR9C532mkj7K,2,2
06e6SO3exwSgVxIf04BoU3,2,2
06eFWpksA3M9qg8GeOGGBX,2,2
06feZZKF0F6FRvSTHCR0a4,2,2
06hScW2F8wdPVjlagETKdC,3,3
06jPOtcs4L8QpgJxixFiBT,2,2
06kxa3al7bUqRRo5nAFduZ,4,4
06oiTaBptIjCGLbtWd6Rlx,2,2
06rBBhdrIHTmR4oyUiybt1,2,2
06vNG6CiV4k8oNA0wUUAO7,2,2
06vqoU6oPRPPkILm8tyBRo,3,3
06yiYlbdcanbh4GJEFyhEj,2,2
06ynDvyG7P9TCZupu29WPs,2,2
06ypiqmILMdVeaiErMFA91,2,2
071BITLZcUvNiEspOR1BgI,2,2
074NgeLzrXD9hQ5O3iNIcY,5,5
076sWQZiNFZq605udzIw8N,5,5
077QV0UtmRfVEw6kFvminm,3,3
07AndHYLqSYcdiBuRyXfxm,2,2
07E0HpWW8gr89oe9iRxOZu,2,2
07EmSBY7syIism45UtBPZa,3,3
07HXQhYntFEupdfad0KYxr,2,2
07HhkAkLc932NMs6zB6AiA,2,2
07ImPoPqKNwqucuPEZooBj,2,2
07QeznlGauyNSmomgZxb49,2,2
07QgdwIdejvYEvsiMT8iFD,2,2
07Tx168RSsUS1HqkDIOZbH,2,2
07VBqWH6NG8L2ad3l84UKk,2,2
07VPMBxEAw8opd21Voa6Rv,2,2
07ceEXOyS7ghQkyCOycXwP,2,2
07lspWYhdJtdn6f6e3DiCD,2,2
07m8PuXxxv5J4qPEDq6ZkK,2,2
07nH4ifBxUB4lZcsf44Brn,3,3
07njv8LyAizW6MnaORtuEl,2,2
07oas8KpAMIkwuetf81Zen,4,4
07rWaFwTzLkyWg2zfQ30ni,2,1
07rz54LA3Y2lagmY0DnChZ,3,3
07uPklAHdtkXATBcS9FvtS,2,2
07vTKxT54r3a23Q0gILvOu,2,2
07vXvRYejavLger1TGzOju,2,2
07vuu2dIJ4e0WVsXafOP1l,2,2
07wsr8b3h0n18wBeyZU0ht,2,2
07zQA8UkyxpmnRhPjHOVOB,2,2
080NGR0DEWN6oEzd7oIXtt,2,2
0815caqt2Lytro5EIzMufT,4,4
082RMdL3KhOLIKX122AV97,2,2
0853SQNjVnNVFa2j68txPo,4,4
086myS9r57YsLbJpU0TgK9,3,3
087Hfvj80hJaJ7e15qKebK,5,5
0888Sjs2LKpRLCPJZKmtEd,2,2
089Kk8RlBojIz9H4qc0eUQ,2,2
089n75HUWVpAYar5t2GwPn,3,3
08BdwDsjgDp9N3ALRaKuYJ,2,2
08CEozAr9W6tjhOEpSY2J4,2,2
08Cz11QoQysCqgDONUVXmL,2,2
08EDz6781IVLc3qMn3VneT,2,2
08FGBIwiPxsvQKn2ksxmqX,2,2
08HJeHs0U9iSbDWX0sWIem,3,3
08OjvLnGR3M0HUhcePeMNO,2,2
08SFfnXcmjDgOSi2tnmdM7,2,1
08THWTAolAd4hkmkFIPxhH,2,2
08Uk9bJZ0XBAKNsv4Jsini,3,3
08VX4aMgET3RjiJB5P1JRy,2,2
08VZ3ycsCq1LfabZjdRLg4,3,3
08W2yaBJw7hsPuwe7NRobe,3,3
08aW4YbaRmy7yYTK0fdjEC,3,3
08bNPGLD8AhKpnnERrAc6G,6,6
08c44mv6lHEfUHlPtVg8Yp,2,2
08c9t8xZCZt7lVVTNeXpzn,2,2
08dNxhOkSsdUOaHthtIy91,2,2
08dcweSRXqWoMdYJU0uqmQ,2,2
08hlaHY7ssHzr2MvBKyKvt,2,2
08jXpbmBrMtXXAtXlHgsHh,5,5
08k0JhCj8oJLB7Xuclr57s,4,4
08kSDRN3ZUB5V5ba2Rt5KB,2,2
